tweet_text,timestamp,user_id,platform,likes,retweets
Super excited about the upcoming release! Can't wait! #excited,2025-03-17 04:45:47.465416,9433,Twitter,909,65
This movie totally was terrible. Complete waste of money. #disappointed,2025-03-09 20:03:53.465416,8380,Twitter,187,33
"This kind of is okay, not great but not terrible either. #neutral",2025-03-20 15:00:18.465416,3385,Twitter,972,7
Can't believe kind of how awesome the new update is! Very impressed!,2025-03-15 04:07:49.465416,5268,Facebook,684,12
Why is this service so slow? Frustrating to deal with.,2025-03-12 14:07:26.465416,1671,Twitter,991,7
The absolutely weather is nice today. Going for a walk later.,2025-03-16 06:39:42.465416,1163,Twitter,289,93
I hardly absolutely love this new product! It's amazing! #happy,2025-03-11 21:35:12.465416,9656,Twitter,44,95
Just an average kind of day. Nothing special to report.,2025-02-27 03:15:09.465416,5592,Facebook,572,99
Best experience ever! absolutely Highly recommend to everyone! #love,2025-03-19 13:05:32.465416,5795,Instagram,82,93
"This absolutely is okay, not great but not terrible either. #neutral",2025-03-20 16:42:31.465416,5798,Twitter,122,64
"This is okay, not great but not terrible either. #neutral",2025-03-05 06:29:55.465416,7036,Instagram,357,42
Super excited totally about the upcoming release! Can't wait! #excited,2025-02-28 23:46:37.465416,3355,Twitter,527,38
Can't believe how awesome the new update is! Very impressed!,2025-03-10 21:19:47.465416,6887,Instagram,65,80
Just somewhat had the worst customer service experience ever. Very disappointed. #angry,2025-02-25 05:32:39.465416,8961,Facebook,935,58
Just had the totally worst customer service experience ever. Very disappointed. #angry,2025-03-10 05:41:37.465416,6827,Facebook,656,83
This hardly movie was terrible. Complete waste of money. #disappointed,2025-03-09 20:24:50.465416,9737,Twitter,374,87
Can't believe absolutely how awesome the new update is! Very impressed!,2025-03-21 02:32:31.465416,5719,Instagram,161,85
The weather absolutely is nice today. Going for a walk later.,2025-03-02 02:00:40.465416,1593,Facebook,745,92
Just had the worst customer service experience ever. Very disappointed. #angry,2025-02-28 15:32:19.465416,5839,Twitter,379,85
Just had absolutely the worst customer service experience ever. Very disappointed. #angry,2025-02-26 14:16:57.465416,8394,Twitter,655,43
This absolutely movie was terrible. Complete waste of money. #disappointed,2025-02-22 02:38:57.465416,4493,Facebook,357,8
This movie was terrible. Complete waste of money. #disappointed,2025-03-10 16:29:19.465416,7164,Facebook,187,36
Just somewhat had the worst customer service experience ever. Very disappointed. #angry,2025-03-12 10:53:21.465416,3672,Twitter,321,73
Just barely an average day. Nothing special to report.,2025-02-25 02:10:54.465416,5200,Instagram,449,35
Just an average day. Nothing special to report.,2025-03-09 05:11:29.465416,1016,Instagram,473,91
This movie was totally terrible. Complete waste of money. #disappointed,2025-03-16 15:23:53.465416,4191,Instagram,12,27
"This is okay, not great but not terrible either. #neutral",2025-03-21 06:10:26.465416,1392,Twitter,183,41
"This is okay, not great but not terrible either. #neutral",2025-03-06 08:52:37.465416,9616,Facebook,110,42
Why is this service so slow? Frustrating to deal with.,2025-02-24 15:10:26.465416,7272,Twitter,926,84
Best totally experience ever! Highly recommend to everyone! #love,2025-02-24 18:07:48.465416,1571,Facebook,507,87
This movie was really terrible. Complete waste of money. #disappointed,2025-03-15 15:26:56.465416,4631,Instagram,289,41
Super excited about barely the upcoming release! Can't wait! #excited,2025-02-21 23:25:27.465416,7172,Instagram,294,65
This kind of movie was terrible. Complete waste of money. #disappointed,2025-02-23 13:42:27.465416,8177,Facebook,450,54
"This is okay, hardly not great but not terrible either. #neutral",2025-03-08 07:18:21.465416,9433,Facebook,903,71
I absolutely love this new product! It's amazing! #happy,2025-03-05 14:34:51.465416,4897,Twitter,214,47
Super excited about the upcoming release! Can't wait! #excited,2025-03-09 07:10:14.465416,9123,Instagram,973,90
Super excited about totally the upcoming release! Can't wait! #excited,2025-02-26 05:40:28.465416,3279,Twitter,631,21
Best experience ever! barely Highly recommend to everyone! #love,2025-03-01 17:40:45.465416,9980,Twitter,893,26
Super excited barely about the upcoming release! Can't wait! #excited,2025-02-28 22:49:17.465416,8451,Twitter,566,92
Why is this barely service so slow? Frustrating to deal with.,2025-03-02 03:24:07.465416,9906,Instagram,26,66
Can't believe how awesome the new update is! Very impressed!,2025-03-09 07:41:58.465416,1775,Twitter,629,12
Super excited hardly about the upcoming release! Can't wait! #excited,2025-03-19 04:36:03.465416,7869,Twitter,732,44
Best experience ever! Highly recommend to everyone! #love,2025-03-02 13:32:17.465416,3247,Twitter,230,9
